section_cn,title_cn,others,section,index,title,src,authur,demo_src
,,,General Wisdom,1,What is Game AI?,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter01_What_is_Game_AI.pdf,Kevin Dill,
,,,General Wisdom,2,Informing Game AI through the Study of Neurology,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter02_Informing_Game_AI_Through_the_Study_of_Neurology.pdf,Brett Laming,
,,,General Wisdom,3,"Advanced Randomness Techniques for Game AI: Gaussian Randomness, Filtered Randomness, and Perlin Noise",http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter03_Advanced_Randomness_Techniques_for_Game_AI.pdf,"Steve Rabin, Fernando Silva, Jay Goldblatt",
,,,Architecture,4,Behavior Selection Algorithms: An Overview,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter04_Behavior_Selection_Algorithms.pdf,"Michael Dawe, Steve Gargolinski, Luke Dicken, Troy Humphreys, Dave Mark",
,,,Architecture,5,Structural Architecture---Common Tricks of the Trade,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter05_Structural_Architecture_Common_Tricks_of_the_Trade.pdf,Kevin Dill,
,,,Architecture,6,The Behavior Tree Starter Kit,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter06_The_Behavior_Tree_Starter_Kit.pdf,"Alex Champandard, Philip Dunstan",
,,,Architecture,7,Real-World Behavior Trees in Script,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter07_Real-World_Behavior_Trees_in_Script.pdf,Michael Dawe,http://www.gameaipro.com/code/GameAIPro_Ch7.zip
,,,Architecture,8,Simulating Behavior Trees: A Behavior Tree / Planner Hybrid Approach,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter08_Simulating_Behavior_Trees.pdf,Daniel Hilburn,http://www.gameaipro.com/code/GameAIPro_Ch8.zip
,,,Architecture,9,An Introduction to Utility Theory,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter09_An_Introduction_to_Utility_Theory.pdf,"David ""Rez"" Graham",http://www.gameaipro.com/code/GameAIPro_Ch9.zip
,,,Architecture,10,Building Utility Decisions into Your Existing Behavior Tree,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter10_Building_Utility_Decisions_into_Your_Existing_Behavior_Tree.pdf,Bill Merrill,
,,,Architecture,11,Reactivity and Deliberation in Decision Making Systems,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter11_Reactivity_and_Deliberation_in_Decision-Making_Systems.pdf,Carle Côté,
,,,Architecture,12,Exploring HTN Planners through Example,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter12_Exploring_HTN_Planners_through_Example.pdf,Troy Humphreys,
