section_cn,title_cn,others,section,index,title,src,authur,demo_src
通用,智能的幻觉,,General Wisdom,1,The Illusion of Intelligence,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter01_The_Illusion_of_Intelligence.pdf,Steve Rabin,
通用,用随机漫步创造过去、现在和未来,,General Wisdom,2,"Creating the Past, Present, and Future with Random Walks",http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter02_Creating_the_Past_Present_and_Future_with_Random_Walks.pdf,John Manslow,http://www.gameaipro.com/code/GameAIPro3_Ch02.zip
通用,FF XV中的日志可视化,,General Wisdom,3,Logging Visualization in *FINAL FANTASY XV*,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter03_Logging_Visualization_in_FINAL_FANTASY_XV.pdf,"Matthew W. Johnson, Fabien Gravot, Shintaro Minamino, Ingimar Hólm Guðmundsson, Hendrik Skubch, and Youichiro Miyake",
通用,所见非所得： 玩家对AI对手的感知,,General Wisdom,4,What You See Is Not What You Get: Player Perception of AI Opponents,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter04_Player_Perception_of_AI_Opponents.pdf,Baylor Wetzel and Kyle Anderson,
通用,扩展性和库重用的六个工厂系统技巧,,General Wisdom,5,Six Factory System Tricks for Extensibility and Library Reuse,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter05_Six_Factory_System_Tricks_for_Extensibility_and_Library_Reuse.pdf,Kevin Dill,
通用,用游戏中的即时刷新来调试AI,,General Wisdom,6,Debugging AI with Instant In-Game Scrubbing,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter06_Debugging_AI_with_Instant_In-Game_Scrubbing.pdf,David Young,
通用,如何为你的游戏建立健全的AI,,General Wisdom,7,"But, It Worked on My Machine! How to Build Robust AI for Your Game",http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter07_How_to_Build_Robust_AI_for_Your_Game.pdf,Sergio Ocio Barriales,
AI架构,模块化AI,,Architecture,8,Modular AI,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter08_Modular_AI.pdf,Kevin Dill and Christopher Dragert,
AI架构,克服行为树设计中的陷阱,,Architecture,9,Overcoming Pitfalls in Behavior Tree Design,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter09_Overcoming_Pitfalls_in_Behavior_Tree_Design.pdf,Anthony Francis,
AI架构,从行为到动画： 联网第一人称射击游戏的反应式AI架构,,Architecture,10,From Behavior to Animation: A Reactive AI Architecture for Networked First-Person Shooter Games,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter10_A_Reactive_AI_Architecture_for_Networked_First-Person_Shooter_Games.pdf,Sumeet Jakatdar,
AI架构,结合行为树和状态机的FFXV角色决策系统,,Architecture,11,A Character Decision-Making System for *FINAL FANTASY XV* by Combining Behavior Trees and State Machines,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter11_A_Character_Decision-Making_System_for_FINAL_FANTASY_XV_by_Combining_Behavior_Trees_and_State_Machines.pdf,"Youichiro Miyake, Youji Shirakami, Kazuya Shimokawa, Kousuke Namiki, Tomoki Komatsu, Joudan Tatsuhiro, Prasert Prasertvithyakarn, and Takanori Yokoyama",
AI架构,可重复使用的轻量级有限状态机,,Architecture,12,"A Reusable, Light-Weight Finite-State Machine",http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter12_A_Reusable_Light-Weight_Finite-State_Machine.pdf,"David ""Rez"" Graham",
AI架构,选择有效的基于效用的考虑因素,,Architecture,13,Choosing Effective Utility-Based Considerations,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter13_Choosing_Effective_Utility-Based_Considerations.pdf,Mike Lewis,
AI架构,将脚本行为与游戏树搜索结合起来，实现更强大、更稳健的游戏AI,,Architecture,14,"Combining Scripted Behavior with Game Tree Search for Stronger, More Robust Game AI",http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter14_Combining_Scripted_Behavior_with_Game_Tree_Search_for_Stronger_More_Robust_Game_AI.pdf,"Nicolas A. Barriga, Marius Stanescu, and Michael Buro",
寻路算法,刺客信条枭雄：复杂车辆的转向,,Movement and Pathfinding,15,Steering against Complex Vehicles in *Assassin's Creed Syndicate*,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter15_Steering_against_Complex_Vehicles_in_Assassin%E2%80%99s_Creed_Syndicate.pdf,Eric Martel,
寻路算法,使用模拟和拟合模型的预测性动画控制,,Movement and Pathfinding,16,Predictive Animation Control Using Simulations and Fitted Models,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter16_Predictive_Animation_Control_Using_Simulations_and_Fitted_Models.pdf,"Ingimar Hólm Guðmundsson, Hendrik Skubch, Fabien Gravot, and Youichiro Miyake",
寻路算法,驱动旧金山的AI,,Movement and Pathfinding,17,"Fast Cars, Big City: The AI of *Driver San Francisco*",http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter17_The_AI_of_Driver_San_Francisco.pdf,Chris Jenner and Sergio Ocio Barriales,
寻路算法,运动的统一理论,,Movement and Pathfinding,18,A Unified Theory of Locomotion,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter18_A_Unified_Theory_of_Locomotion.pdf,Graham Pentheny,
